@relation mermer4ysciHist-lbp

@attribute Mean numeric
@attribute ' Varyans' numeric
@attribute ' Skewness' numeric
@attribute ' Kurtosis' numeric
@attribute ' Energy1' numeric
@attribute ' Entropy' numeric
@attribute ' Contrast' numeric
@attribute ' Energy2' numeric
@attribute ' Homogeneity' numeric
@attribute ' Correlation' numeric
@attribute ' x0' numeric
@attribute ' x1' numeric
@attribute ' x2' numeric
@attribute ' x3' numeric
@attribute ' x4' numeric
@attribute ' x5' numeric
@attribute ' x6' numeric
@attribute ' x7' numeric
@attribute ' x8' numeric
@attribute ' x9' numeric
@attribute ' x10' numeric
@attribute ' x11' numeric
@attribute ' x12' numeric
@attribute ' x13' numeric
@attribute ' x14' numeric
@attribute ' x15' numeric
@attribute ' x16' numeric
@attribute ' x17' numeric
@attribute ' class ' {' rossolevanto',' onyx',' keivan',' black'}

@data
190.03,14.14,-1.4,5.91,0.02,-5.66,0.14,0.6,0.93,0.79,0.059,0.0504,0.0238,0.0168,0.0154,0.0164,0.0208,0.0257,0.0312,0.0311,0.0229,0.0193,0.0168,0.0197,0.0275,0.0426,0.0575,0.5022,' onyx'
180.89,17.79,-0.53,2.99,0.02,-6.08,0.11,0.6,0.94,0.86,0.0596,0.0494,0.0243,0.0164,0.0157,0.0163,0.0194,0.0224,0.027,0.029,0.0225,0.021,0.0179,0.0211,0.0275,0.0425,0.0558,0.5114,' onyx'
182.95,16.87,-0.57,3.2,0.02,-6.05,0.1,0.62,0.95,0.87,0.0566,0.0489,0.0233,0.0151,0.0138,0.015,0.0187,0.0239,0.0311,0.0308,0.0232,0.0203,0.0172,0.0183,0.0257,0.0432,0.055,0.5188,' onyx'
201.55,9.23,-0.66,2.63,0.03,-5.08,0.05,0.82,0.97,0.8,0.0642,0.0511,0.0246,0.0144,0.0118,0.012,0.0133,0.0137,0.0143,0.0181,0.013,0.014,0.0141,0.0185,0.0305,0.0487,0.0739,0.5488,' onyx'
195.35,5.78,0.05,2.4,0.05,-4.53,0.08,0.75,0.96,0.76,0.056,0.0455,0.0293,0.0205,0.0172,0.0186,0.0179,0.0201,0.0201,0.0251,0.0219,0.024,0.0215,0.0263,0.0343,0.0436,0.0726,0.4848,' onyx'
204.6,6.4,-0.67,3.02,0.05,-4.65,0.03,0.95,0.99,0.64,0.0644,0.0554,0.0231,0.0129,0.0101,0.0105,0.0107,0.0121,0.0137,0.0167,0.0128,0.0127,0.0128,0.0176,0.0283,0.0504,0.0782,0.5564,' onyx'
198.87,9.41,-0.38,3.01,0.03,-5.11,0.08,0.77,0.96,0.77,0.0546,0.0475,0.0228,0.0157,0.0124,0.014,0.017,0.0236,0.0266,0.027,0.0196,0.0167,0.0143,0.0189,0.0289,0.0463,0.0672,0.526,' onyx'
197.14,10.95,-0.54,3.03,0.03,-5.31,0.06,0.74,0.97,0.85,0.0456,0.0415,0.0223,0.0164,0.0155,0.0208,0.0273,0.0351,0.0397,0.0414,0.0292,0.0228,0.0188,0.0191,0.0265,0.0418,0.0563,0.4789,' onyx'
199.67,8.61,-0.54,3.24,0.03,-5.06,0.1,0.8,0.95,0.66,0.0569,0.0502,0.0179,0.0119,0.0111,0.0144,0.0204,0.0294,0.037,0.0328,0.0202,0.0156,0.012,0.0143,0.0198,0.0478,0.0619,0.5254,' onyx'
164.13,28.53,0.08,2.6,0.01,-6.85,0.23,0.45,0.9,0.87,0.0585,0.047,0.0253,0.0184,0.0166,0.0187,0.0248,0.0364,0.0458,0.0369,0.0233,0.0184,0.0146,0.0171,0.0226,0.0442,0.0561,0.4743,' onyx'
